asset,theme,region,currency,current_value_usd,target_value_usd,trade_usd,target_weight_pct,action,fixed,thesis
Cash,Liquidez,United States,USD,"USD 26,854","USD 15,361","-USD 11,493",6.00,Liquidez,yes,Preservar liquidez estrategica e cumprir o piso de 5% com folga.
XOVR,Liquidez,United States,USD,"USD 2,058","USD 10,241","USD 8,183",4.00,Liquidez,yes,Aumentar equivalente defensivo para reduzir volatilidade sem sair de caixa.
ECOPET_BOND,Liquidez,Colombia,USD,"USD 6,028","USD 7,681","USD 1,653",3.00,Liquidez,yes,Manter renda fixa em USD como camada defensiva do modelo.
AMZN,Nucleo qualidade,United States,USD,"USD 13,063","USD 11,715","-USD 1,348",4.58,Reduzir,no,"Manter qualidade em cloud, ads e consumo, apenas aparando excesso pequeno."
GOOGL,Nucleo qualidade,United States,USD,"USD 9,409","USD 11,715","USD 2,306",4.58,Comprar,no,"Aumentar para peso de nucleo pela combinacao de IA, search e cloud."
MSFT,Nucleo qualidade,United States,USD,"USD 23,026","USD 14,058","-USD 8,968",5.49,Reduzir,no,"Preservar posicao core em cloud/IA, mas reduzir concentracao para financiar convexidade."
NVDA,Nucleo qualidade,United States,USD,"USD 44,872","USD 18,745","-USD 26,127",7.32,Reduzir,no,"Continuar exposto a lideranca em IA, porem com disciplina de tamanho."
IBM,Nucleo qualidade,United States,USD,"USD 32,042","USD 9,372","-USD 22,670",3.66,Reduzir,no,Reduzir ativo defensivo de menor convexidade para liberar capital para teses do estudo.
JPM,Nucleo qualidade,United States,USD,"USD 29,658","USD 14,058","-USD 15,600",5.49,Reduzir,no,"Manter banco de qualidade, mas reduzir peso elevado e dependencia de financeiro tradicional."
RTX,Defesa e espaco,United States,USD,"USD 5,232","USD 7,852","USD 2,619",3.07,Comprar,no,"Reforcar defesa core, com menor upside que RKLB e KTOS, mas melhor perfil defensivo."
KTOS,Defesa e espaco,United States,USD,"USD 3,809","USD 10,469","USD 6,660",4.09,Comprar,no,"Aumentar exposicao a drones, sistemas autonomos e guerra eletronica."
SHLD,Defesa e espaco,United States,USD,"USD 9,843","USD 10,469",USD 626,4.09,Manter,no,Manter ETF de defesa como exposicao diversificada ao tema geopolitico.
URA,Uranio e nuclear,United States,USD,"USD 5,054","USD 14,457","USD 9,403",5.65,Comprar,no,Aumentar bloco de uranio pelo ciclo nuclear e pela demanda de energia para IA.
COPX,Minerais criticos,United States,USD,"USD 9,006","USD 11,167","USD 2,161",4.36,Comprar,no,Reforcar cobre como tese de eletrificacao global com risco mais diversificado.
RKLB,Defesa e espaco,United States,USD,"USD 7,343","USD 15,704","USD 8,360",6.13,Comprar,no,"Aumentar uma das top 5 do estudo, com execucao operacional real em espaco e defesa."
ASTS,Defesa e espaco,United States,USD,USD 0,"USD 10,469","USD 10,469",4.09,Comprar,no,"Iniciar exposicao a infraestrutura celular via satelite, uma das maiores optionalidades."
NXE,Uranio e nuclear,United States,USD,USD 0,"USD 11,566","USD 11,566",4.52,Comprar,no,"Iniciar posicao em ativo tier-1 de uranio, destacado como qualidade geologica superior."
SMR,Uranio e nuclear,United States,USD,USD 0,"USD 8,674","USD 8,674",3.39,Comprar,no,"Iniciar exposicao a SMRs, tese nuclear com opcionalidade estrategica."
ARR.AX,Minerais criticos,Australia,AUD,USD 0,"USD 5,583","USD 5,583",2.18,Comprar,no,Adicionar rare earths geopolitico dos EUA em tamanho controlado pelo risco elevado.
MP,Minerais criticos,United States,USD,USD 0,"USD 5,583","USD 5,583",2.18,Comprar,no,"Adicionar rare earths em producao nos EUA, com menor risco relativo que ARR."
UUUU,Uranio e nuclear,United States,USD,USD 0,"USD 5,783","USD 5,783",2.26,Comprar,no,"Adicionar hibrido de uranio, monazita e rare earths para ampliar a cesta estrategica."
SGML,Minerais criticos,Brazil,USD,USD 0,"USD 5,583","USD 5,583",2.18,Comprar,no,Adicionar litio Brasil/ESG como opcionalidade de supply chain critica.
QBTS,Cauda especulativa,United States,USD,"USD 14,590","USD 6,730","-USD 7,860",2.63,Reduzir,no,"Reduzir quantum para tamanho de cesta, diminuindo risco de diluicao e volatilidade extrema."
RGTI,Cauda especulativa,United States,USD,"USD 5,126","USD 5,048",-USD 78,1.97,Manter,no,"Manter opcionalidade em quantum, mas com peso menor e compativel com risco binario."
LAES,Cauda especulativa,United States,USD,"USD 3,550","USD 5,048","USD 1,498",1.97,Comprar,no,Manter microcap de seguranca/semis apenas como componente pequeno da cesta.
NAUFF,Uranio e nuclear,United States,USD,"USD 4,160","USD 2,891","-USD 1,269",1.13,Manter,no,"Reduzir para posicao pequena, mantendo opcionalidade no ciclo nuclear sem concentrar risco."
