asset,theme,region,currency,current_value_usd,target_value_usd,trade_usd,target_weight_pct,action,fixed,thesis
Cash,Liquidez,United States,USD,"USD 26,854","USD 20,482","-USD 6,372",8.00,Liquidez,yes,Preservar liquidez estrategica e cumprir o piso de 5% com folga.
XOVR,Liquidez,United States,USD,"USD 2,058","USD 10,241","USD 8,183",4.00,Liquidez,yes,Aumentar equivalente defensivo para reduzir volatilidade sem sair de caixa.
ECOPET_BOND,Liquidez,Colombia,USD,"USD 6,028","USD 7,681","USD 1,653",3.00,Liquidez,yes,Manter renda fixa em USD como camada defensiva do modelo.
AMZN,Nucleo qualidade,United States,USD,"USD 13,063","USD 12,801",-USD 262,5.00,Manter,no,"Manter qualidade em cloud, ads e consumo, apenas aparando excesso pequeno."
GOOGL,Nucleo qualidade,United States,USD,"USD 9,409","USD 12,801","USD 3,392",5.00,Comprar,no,"Aumentar para peso de nucleo pela combinacao de IA, search e cloud."
MSFT,Nucleo qualidade,United States,USD,"USD 23,026","USD 15,361","-USD 7,665",6.00,Reduzir,no,"Preservar posicao core em cloud/IA, mas reduzir concentracao para financiar convexidade."
NVDA,Nucleo qualidade,United States,USD,"USD 44,872","USD 20,482","-USD 24,390",8.00,Reduzir,no,"Continuar exposto a lideranca em IA, porem com disciplina de tamanho."
IBM,Nucleo qualidade,United States,USD,"USD 32,042","USD 10,241","-USD 21,801",4.00,Reduzir,no,Reduzir ativo defensivo de menor convexidade para liberar capital para teses do estudo.
JPM,Nucleo qualidade,United States,USD,"USD 29,658","USD 15,361","-USD 14,297",6.00,Reduzir,no,"Manter banco de qualidade, mas reduzir peso elevado e dependencia de financeiro tradicional."
RTX,Defesa e espaco,United States,USD,"USD 5,232","USD 7,681","USD 2,448",3.00,Comprar,no,"Reforcar defesa core, com menor upside que RKLB e KTOS, mas melhor perfil defensivo."
KTOS,Defesa e espaco,United States,USD,"USD 3,809","USD 10,241","USD 6,432",4.00,Comprar,no,"Aumentar exposicao a drones, sistemas autonomos e guerra eletronica."
SHLD,Defesa e espaco,United States,USD,"USD 9,843","USD 10,241",USD 398,4.00,Manter,no,Manter ETF de defesa como exposicao diversificada ao tema geopolitico.
URA,Uranio e nuclear,United States,USD,"USD 5,054","USD 12,801","USD 7,747",5.00,Comprar,no,Aumentar bloco de uranio pelo ciclo nuclear e pela demanda de energia para IA.
COPX,Minerais criticos,United States,USD,"USD 9,006","USD 10,241","USD 1,235",4.00,Manter,no,Reforcar cobre como tese de eletrificacao global com risco mais diversificado.
RKLB,Defesa e espaco,United States,USD,"USD 7,343","USD 15,361","USD 8,018",6.00,Comprar,no,"Aumentar uma das top 5 do estudo, com execucao operacional real em espaco e defesa."
ASTS,Defesa e espaco,United States,USD,USD 0,"USD 10,241","USD 10,241",4.00,Comprar,no,"Iniciar exposicao a infraestrutura celular via satelite, uma das maiores optionalidades."
NXE,Uranio e nuclear,United States,USD,USD 0,"USD 10,241","USD 10,241",4.00,Comprar,no,"Iniciar posicao em ativo tier-1 de uranio, destacado como qualidade geologica superior."
SMR,Uranio e nuclear,United States,USD,USD 0,"USD 7,681","USD 7,681",3.00,Comprar,no,"Iniciar exposicao a SMRs, tese nuclear com opcionalidade estrategica."
ARR.AX,Minerais criticos,Australia,AUD,USD 0,"USD 5,120","USD 5,120",2.00,Comprar,no,Adicionar rare earths geopolitico dos EUA em tamanho controlado pelo risco elevado.
MP,Minerais criticos,United States,USD,USD 0,"USD 5,120","USD 5,120",2.00,Comprar,no,"Adicionar rare earths em producao nos EUA, com menor risco relativo que ARR."
UUUU,Uranio e nuclear,United States,USD,USD 0,"USD 5,120","USD 5,120",2.00,Comprar,no,"Adicionar hibrido de uranio, monazita e rare earths para ampliar a cesta estrategica."
SGML,Minerais criticos,Brazil,USD,USD 0,"USD 5,120","USD 5,120",2.00,Comprar,no,Adicionar litio Brasil/ESG como opcionalidade de supply chain critica.
QBTS,Cauda especulativa,United States,USD,"USD 14,590","USD 5,120","-USD 9,470",2.00,Reduzir,no,"Reduzir quantum para tamanho de cesta, diminuindo risco de diluicao e volatilidade extrema."
RGTI,Cauda especulativa,United States,USD,"USD 5,126","USD 3,840","-USD 1,286",1.50,Reduzir,no,"Manter opcionalidade em quantum, mas com peso menor e compativel com risco binario."
LAES,Cauda especulativa,United States,USD,"USD 3,550","USD 3,840",USD 290,1.50,Manter,no,Manter microcap de seguranca/semis apenas como componente pequeno da cesta.
NAUFF,Uranio e nuclear,United States,USD,"USD 4,160","USD 2,560","-USD 1,600",1.00,Reduzir,no,"Reduzir para posicao pequena, mantendo opcionalidade no ciclo nuclear sem concentrar risco."
